,iteration,realization,is_observation,is_prediction,name,tagname,attribute,calculation,offset,domain,time0,time1,relative_path
20,iter-0,realization-45,False,True,seismic,amplitude_near_depth,amplitude,,near,time,2018-01-01,,realization-45/iter-0/share/results/seismic/seismic--amplitude_near_depth--20180101.segy
21,iter-0,realization-30,False,True,seismic,amplitude_near_2x_time,amplitude2,mean,near,time,2018-01-01,,realization-30/iter-0/share/results/seismic/seismic--amplitude_near_2x_time--20180101.segy
22,iter-0,realization-32,False,True,seismic,amplitude_near_time,amplitude,mean,near,time,2018-01-01,,realization-32/iter-0/share/results/seismic/seismic--amplitude_near_time--20180101.segy
23,iter-0,realization-80,False,True,seismic,amplitude_near_time,amplitude,mean,near,time,2018-01-01,,realization-80/iter-0/share/results/seismic/seismic--amplitude_near_time--20180101.segy
24,iter-0,realization-30,False,True,seismic,amplitude_far_2x_time,amplitude2,mean,far,time,2018-01-01,,realization-30/iter-0/share/results/seismic/seismic--amplitude_far_2x_time--20180101.segy
25,iter-0,realization-41,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2020-07-01,realization-41/iter-0/share/results/seismic/seismic--relai_depth--20200701_20180101.segy
26,iter-0,realization-98,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2018-07-01,realization-98/iter-0/share/results/seismic/seismic--relai_depth--20180701_20180101.segy
27,iter-0,realization-48,False,True,seismic,amplitude_far_2x_depth,amplitude2,,far,time,2018-01-01,,realization-48/iter-0/share/results/seismic/seismic--amplitude_far_2x_depth--20180101.segy
28,iter-0,realization-26,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2018-07-01,realization-26/iter-0/share/results/seismic/seismic--relai_depth--20180701_20180101.segy
29,iter-0,realization-48,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2020-07-01,realization-48/iter-0/share/results/seismic/seismic--amplitude_depth--20200701_20180101.segy
30,iter-0,realization-98,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2019-07-01,realization-98/iter-0/share/results/seismic/seismic--amplitude_depth--20190701_20180101.segy
31,iter-0,realization-48,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2019-07-01,realization-48/iter-0/share/results/seismic/seismic--relai_depth--20190701_20180101.segy
32,iter-0,realization-98,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-98/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
33,iter-0,realization-26,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-26/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
34,iter-0,realization-29,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-29/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
